workload,hr_10,hr_20,hr_30,hr_40,hr_50,hr_60,hr_70,hr_80,hr_90,hr_100,write_ratio,cold_miss_rate
w03,7.241728,109891.375104,327373.63968,490450.477056,610618.617856,764377.214976,799952.162816,812761.264128,822777.909248,893555.134464,0.24530386503318058,0.12917582100881508
w21,83779.014656,129951.760384,163078.258688,180004.16768,197300.924416,205740.675072,210028.146688,220973.559808,244318.6176,248366.424064,0.023669542314387365,0.08944384815733467
w52,0.0,0.106496,0.319488,1.368064,12.648448,217.092096,387.91168,638.312448,1392.779264,5782.114304,0.37167638617274307,0.044834234982914924
w12,0.0,0.0,0.004096,0.008192,0.012288,0.02048,0.04096,0.667648,353.886208,3704.926208,0.5442490153393337,0.01925853428037723
w13,362.504192,503.836672,668.44672,894.40256,1160.27392,1669.705728,2994.245632,17165.082624,33668.947968,159790.473216,0.3749553272563638,0.14271685775483958
w50,2295.578624,2326.58944,2353.065984,2422.472704,4362.6496,6634.319872,11097.06752,36853.43232,36893.601792,39181.934592,0.04748998636501973,0.12201216888473759
w48,1275.981824,10931.662848,85962.30144,140350.345216,141162.76224,141619.228672,141717.999616,141907.075072,142436.282368,146909.421568,0.03902884917501817,0.10405327976964063
w27,110.030848,215.1424,356.548608,560.734208,887.488512,1332.498432,2115.477504,3754.25024,8830.726144,40777.035776,0.21207005501486925,0.14447047808511593
w45,144.195584,165.462016,184.516608,194.187264,208.150528,272.572416,431.202304,526.598144,684.683264,1430.75328,0.9966325317183491,0.3623275344931014
w07,0.008192,6.807552,112.726016,1119.096832,3067.994112,7095.021568,16561.577984,28719.65696,69926.33856,134998.204416,0.15668877224221914,0.15879520516741297
w103,0.008192,76.320768,351.776768,616.689664,960.24576,1243.865088,1548.570624,1865.015296,2887.974912,6148.591616,0.6886143897222559,0.3322853785712843
w51,0.053248,8.0896,9.900032,11.34592,12.845056,14.979072,20.082688,1308.622848,3779.969024,17744.265216,0.15327861555455952,0.05581729344496786
w10,101829.357568,285255.479296,378738.638848,400740.745216,470962.638848,473143.443456,483274.534912,483353.821184,484844.048384,527673.147392,0.10110206063256862,0.10322541550980457
w22,122.478592,237.682688,48513.212416,48547.500032,48885.506048,51870.035968,54672.543744,54687.936512,56640.626688,66421.0432,0.14375257965012433,0.3222892924948385
w89,0.0,0.02048,0.520192,3.82976,4.878336,125.816832,1066.876928,1626.570752,2919.370752,10447.527936,0.5720165624439884,0.20488792159156388
w99,275.365888,17539.702784,17542.656,17611.866112,17718.960128,17729.59744,17731.956736,17844.109312,18060.972032,18186.530816,0.10005273169849373,0.15063246375917816
w57,0.004096,0.057344,0.442368,2.220032,6.053888,13.942784,56.160256,537.427968,966.668288,4041.080832,0.6095421666381796,0.018854269321894986
w79,0.0,0.0,0.0,6.344704,70.475776,126.713856,175.3088,227.422208,314.441728,30883.913728,0.4451050432670602,0.10119624568516676
w72,0.0,0.126976,16.666624,77.533184,109.162496,145.661952,444.698624,795.992064,1274.38848,3128.061952,0.5448937454922902,0.03356011547973565
w04,1.142784,2.666496,6042.68544,370888.400896,479759.07328,601422.798848,772188.717056,794964.41856,806613.499904,871882.305536,0.26175332157573505,0.12959026666339596
w47,314.015744,324.755456,328.572928,390.815744,483.51232,553.209856,581.107712,592.416768,683.839488,1295.241216,0.997943010866796,0.5403198455558165
w69,129.449984,228.859904,294.862848,394.129408,561.733632,822.0672,1320.976384,2116.550656,4578.623488,18001.7152,0.24171369433408182,0.10571419499139542
w101,13.451264,5132.345344,9506.03776,11635.961856,12309.85216,12900.757504,13591.16288,14738.907136,16799.010816,22151.630848,0.962635866215805,0.09759074564827745
w92,0.004096,4884.283392,22844.735488,22878.43328,22975.123456,23068.905472,23086.538752,23104.38912,23237.451776,23352.971264,0.060781090378125104,0.13654209154041658
w35,0.0,0.036864,0.708608,47.898624,313.315328,899.452928,1101.942784,1298.386944,1760.845824,4734.558208,0.9335215045628058,0.04506370500682503
w43,0.90112,406.441984,8937.508864,18136.809472,18357.731328,18824.728576,20233.928704,21881.196544,29718.044672,52137.680896,0.4531628510667036,0.11585137802759339
w54,23815.593984,76064.718848,141313.220608,282898.976768,548623.589376,575350.525952,652590.170112,652610.12992,674747.86304,843635.572736,0.2151370098672595,0.2289968438791944
w61,1207.652352,2525.98272,3779.158016,5134.733312,8510.7712,15089.012736,16795.7504,17330.167808,17622.593536,20831.756288,0.31262824578818743,0.09652247016937085
w74,0.0,0.012288,0.32768,0.749568,1.052672,1.92512,25.022464,566.247424,819.79392,1858.88768,0.6407031946772999,0.026716392929260206
w77,0.0,1.765376,143.663104,692.420608,1191.624704,1611.005952,2373.021696,2617.89696,4108.84096,12069.822464,0.3323613503772981,0.13598510847066433
w105,9.744384,1262.845952,4923.379712,8537.214976,11878.146048,12276.28544,12366.774272,13248.872448,13475.700736,15095.697408,0.12761055526231557,0.11683722557221275
w80,0.057344,1.953792,95.49824,155.234304,221.3888,423.591936,647.729152,1121.36192,1703.743488,2753.204224,0.2807842692017406,0.024144306910501557
w30,1900.285952,3300.458496,3825.74592,4600.29952,5426.487296,5905.42848,6414.143488,7309.96736,10308.018176,16555.470848,0.9782681773707563,0.4471949681695133
w40,350.445568,670.519296,1089.544192,1319.272448,1326.272512,1350.684672,1391.017984,1848.680448,2845.45024,5343.571968,0.9881965553458821,0.7841293745423397
w91,0.012288,0.339968,71.573504,155.070464,217.6,238.3872,346.112,671.301632,1702.608896,14337.728512,0.2529384497793448,0.1499451682921561
w34,369.528832,2780.061696,3659.849728,33637.638144,66027.900928,71835.418624,73094.524928,74509.070336,75159.216128,83308.163072,0.16637073539257616,0.09135556591946233
w85,22297.092096,22300.028928,22648.090624,22658.228224,22663.651328,22680.846336,22703.443968,22708.49024,22712.451072,22783.840256,0.03686529030211763,0.13828815122668242
w37,0.0,0.024576,5.0176,30.04416,555.798528,1740.427264,4218.937344,6913.163264,15642.279936,50706.272256,0.19283173075650625,0.2522815623235013
w67,0.0,0.016384,0.08192,0.720896,1.511424,6.057984,458.817536,850.49344,1206.796288,2832.269312,0.5369960874252988,0.028282225360553248
w63,0.0,0.012288,91.87328,234.06592,410.50112,753.9712,1562.734592,4264.419328,7714.820096,48905.981952,0.13630181052010418,0.20183068572189292
w20,124455.272448,248669.925376,479793.975296,483958.083584,484497.813504,489348.481024,520045.858816,538954.846208,544552.239104,568573.41952,0.12710213516398203,0.18917778050346298
w19,977.727488,1123.127296,1254.305792,1409.462272,1633.619968,1831.424,2137.92768,2429.923328,3075.878912,11658.436608,0.02306158685717625,0.004656831664066434
w93,0.360448,0.434176,0.55296,0.888832,4.427776,20.19328,40.906752,46.153728,179.798016,657.34656,0.8789360015024101,0.7533933726892748
w62,0.016384,0.016384,0.016384,0.069632,1017.839616,3625.418752,4805.070848,6119.796736,28221.17376,38553.624576,0.12137738034193885,0.3314117963494204
w06,0.0,0.0,1.007616,7.057408,12.82048,46.383104,65.277952,100.122624,192.479232,17876.758528,0.24520774804702802,0.016390375114712665
w23,0.016384,2247.299072,40176.513024,40515.694592,43514.630144,44352.86016,44692.76672,44948.676608,46265.544704,49655.021568,0.39277972742431505,0.09619550266837484
w68,0.012288,0.454656,3.162112,52.57216,103.084032,217.239552,240.2304,2619.916288,3162.947584,5161.96352,0.8802242431074361,0.04887243288863088
w84,0.032768,0.331776,1.458176,4.313088,57.397248,147.72224,257.978368,933.900288,2264.199168,10507.132928,0.7448737666268953,0.14416110580368374
w87,0.0,0.0,1.961984,7.933952,13.320192,48.893952,177.528832,465.473536,7710.498816,25030.729728,0.5256740997267039,0.20786693807093923
w64,0.0,36.212736,58977.984512,59003.011072,59004.264448,59004.432384,59004.710912,59006.132224,59006.353408,375943.376896,0.08460364467649027,0.8356436902818549
w59,202.653696,386.138112,548.241408,774.643712,1053.114368,1436.884992,1797.083136,2271.055872,2571.44832,5532.721152,0.4979212240592937,0.039566896596096045
w14,10.489856,233312.784384,320533.168128,432089.911296,433963.708416,435298.148352,454611.099648,456184.889344,459349.712896,521897.619456,0.2502006639137513,0.17166126271251295
w76,0.0,0.0,0.0,0.0,0.0,0.0,0.053248,59.387904,437.161984,5598.63808,0.6461726376036893,0.034313872391745465
w60,0.008192,0.16384,87.625728,414.8224,2326.7328,5977.931776,10518.278144,10927.398912,11961.561088,15074.357248,0.2201522946717772,0.07006598890940222
w70,0.421888,58.056704,167.907328,392.757248,492.040192,593.661952,979.57888,1761.988608,2824.732672,9880.408064,0.8319437697458073,0.056462861670397116
w65,287.617024,49070.436352,50057.060352,50077.237248,50271.256576,51230.9248,51242.164224,51328.524288,51956.666368,55375.740928,0.03978838287192437,0.13533823808784726
w97,10.211328,5072.871424,9485.963264,12087.537664,12505.329664,12979.064832,13564.68224,14468.112384,15727.128576,20021.989376,0.9618370365587146,0.09379437847474015
w100,7.827456,4876.025856,8422.13376,11727.568896,12155.908096,12597.059584,13260.304384,14254.260224,15360.458752,20653.756416,0.9627926856344245,0.0833120678911605
w66,0.118784,3.104768,44.62592,291.311616,550.23616,604.684288,625.688576,640.7168,660.385792,919.027712,0.2859341682765893,0.004096408616943995
w18,61.571072,203.767808,221.42976,453.967872,1276.301312,3416.653824,12132.339712,14808.100864,28302.778368,49962.725376,0.20544008927355342,0.08215515513963205
w104,9.469952,4830.875648,8926.593024,46621.782016,46627.393536,46766.297088,46769.78688,46773.456896,46779.805696,46854.672384,0.2097206503110818,0.47886344041564305
w98,7.360512,4809.785344,8272.777216,11509.178368,12362.887168,12712.095744,13354.692608,14296.322048,15438.97088,19207.704576,0.9617215643670446,0.08998144179995408
w33,1189.00736,1189.736448,1810.6368,1913.868288,2254.901248,2255.450112,2351.874048,2358.74304,2445.389824,6864.723968,0.972304122504983,0.1741776732203941
w32,0.004096,0.016384,0.06144,0.065536,1.630208,371.052544,4163.260416,5802.663936,31343.816704,49385.447424,0.10963391954443612,0.1639719006747992
w106,0.004096,0.036864,0.069632,0.200704,0.667648,1.630208,3.19488,4.255744,312.086528,4302.0288,0.764782136678445,0.2619230595897998
w95,0.036864,1.76128,41.734144,126.984192,200.814592,239.0016,365.748224,780.050432,1101.758464,4805.767168,0.524261321463379,0.0805701277059761
w31,648382.38208,648917.487616,650147.475456,650529.878016,650827.149312,651057.60256,652000.19456,696184.487936,723386.892288,802581.807104,0.06029620154186252,0.12056671663934478
w16,89.645056,167.19872,281.501696,1563.107328,12508.237824,27466.522624,42885.824512,43948.978176,46487.568384,61780.189184,0.1336751425059016,0.18093793082225193
w26,0.012288,0.503808,294.633472,2268.491776,3830.775808,5248.598016,7247.163392,9089.765376,13911.863296,55689.035776,0.43489445363200707,0.06803405733690684
w82,0.053248,1.875968,21.397504,142.938112,400.244736,592.113664,664.133632,707.739648,774.541312,936.18176,0.3700925129346298,0.00858799614327385
w81,0.413696,2714.144768,19814.309888,19817.795584,19861.331968,19899.416576,19906.138112,19922.706432,19935.444992,19953.3568,0.11187976921722967,0.13297621435633553
w09,1.155072,7.00416,188101.218304,428419.756032,432972.787712,436497.108992,457693.380608,460048.904192,462407.020544,521685.024768,0.21001930040699845,0.11804371486175722
w28,2404.605952,3904.192512,5031.981056,5901.979648,6668.713984,8544.89088,11024.019456,14418.120704,22778.335232,71184.625664,0.5765762895837989,0.018705601226325422
w83,0.0,0.0,0.073728,1979.00288,17810.059264,18985.619456,18990.587904,19028.856832,19072.761856,19399.29088,0.3303688931640976,0.3493783245232179
w38,0.004096,0.045056,1.880064,20.078592,103.759872,3364.356096,12256.567296,12615.14752,12984.17664,15905.099776,0.3751317044598183,0.059533983551602124
w96,635.645952,1052.196864,1494.720512,1835.012096,2380.730368,2915.581952,3205.025792,3517.206528,3986.313216,9177.051136,0.9483682314311778,0.46688749968867527
w25,1040.683008,8575.438848,14366.57664,14548.692992,14753.32096,14839.627776,14976.24576,17778.561024,24004.624384,142283.513856,0.11082276623732716,0.029796982051567087
w86,0.008192,0.036864,0.73728,1.163264,2.37568,6.22592,99.745792,9804.038144,33174.884352,72147.324928,0.5547706644591383,0.9770023370134283
w46,21112.836096,27119.906816,30660.173824,32029.290496,34259.361792,35503.128576,37205.229568,39000.33024,41802.551296,284734.23872,0.7427604750796264,0.247923253998706
w17,0.0,0.0,0.032768,66.306048,297.934848,966.217728,1205.747712,2242.125824,3791.458304,18248.33536,0.7998630031939893,0.11778561220518274
w78,0.016384,1.511424,51.34336,131.854336,171.835392,262.63552,1044.094976,3497.644032,5728.09216,11276.3904,0.40613546497231695,0.04493215694108486
w56,0.004096,0.065536,0.708608,3.026944,7.04512,14.80704,47.476736,499.65056,988.81536,3731.017728,0.5857871777032496,0.018080385146683513
w08,63294.09536,124186.595328,201360.052224,280299.45856,331696.2304,333911.12192,336229.134336,339674.116096,344539.15648,352418.18112,0.03480083277658834,0.08141113925782408
w75,0.0,0.008192,0.991232,32.755712,143.900672,367.280128,640.172032,1030.897664,1865.269248,8687.316992,0.7906236230182984,0.043824453004551275
w88,0.036864,10.846208,57.151488,87.412736,119.099392,176.009216,222.859264,321.564672,854.528,3957.325824,0.5098716237732048,0.043848702836468606
w42,0.012288,0.524288,128.937984,812.720128,1873.993728,3120.320512,6152.257536,11601.924096,14397.022208,19439.919104,0.29701605813342885,0.049553266659890356
w94,1247.678464,2132.533248,2564.657152,5457.825792,5786.177536,9644.331008,12875.358208,14213.197824,14667.374592,14839.549952,0.05426949108029431,0.03448853177958646
w90,936.59136,1639.206912,1640.828928,1645.580288,1805.979648,5185.183744,5295.529984,5312.831488,5567.676416,14618.025984,0.08445445176264188,0.059236317422791826
w11,403.460096,695.533568,1002.942464,1414.639616,1981.11232,2769.076224,3821.879296,4760.711168,6289.371136,12284.86656,0.34200747693785344,0.006063267380056871
w36,1138.66752,1145.561088,1680.039936,1710.6944,2095.874048,2098.024448,2111.75424,2112.47104,2218.520576,5976.592384,0.972429617289184,0.1706285215609645
w44,1526.140928,9170.591744,10512.723968,11869.474816,12273.741824,14462.091264,14469.763072,15138.279424,15153.475584,16044.4416,0.12471391531548374,0.1372821847167955
w58,2.555904,33.28,74.047488,209.498112,1214.705664,6242.172928,7429.091328,7952.683008,10324.31616,27454.1568,0.45455051607038377,0.10434680595747908
w01,0.0,0.008192,0.086016,4.653056,32.661504,95.244288,312.446976,93304.5248,627112.779776,858194.432,0.16064983767339716,0.3918343807908845
w71,0.0,0.241664,0.6144,2.08896,78.184448,367.644672,569.110528,818.25792,1288.323072,6056.505344,0.3477258521629331,0.07168627436019923
w05,41191.206912,221076.04992,396530.679808,429703.376896,502623.322112,507521.855488,518252.351488,520340.094976,528485.23264,608773.8368,0.09315854329464231,0.10592549396794805
w02,2857.017344,2948.091904,3087.183872,3113.00096,3120.480256,3128.827904,3136.466944,3140.558848,3185.324032,10190.39744,0.012685135867731328,0.00151052699948085
w15,11103.617024,14748.278784,22546.653184,25452.367872,29118.640128,32291.893248,33710.575616,34815.934464,36635.574272,43072.196608,0.1732867488658699,0.15202146630141603
w102,1.14688,432.869376,590.954496,694.841344,978.90304,1161.715712,1244.811264,1440.067584,1717.94432,4240.22016,0.9413943498969063,0.11824099257403049
w29,71.000064,116.199424,163.909632,219.9552,296.198144,411.271168,610.975744,1227.915264,10213.756928,43189.620736,0.19198503778352968,0.14531254702891055
w41,1591.472128,1625.092096,1806.200832,1825.513472,2049.794048,2326.69184,2341.220352,2411.999232,2430.951424,4570.361856,0.9305680451732755,0.15983651105936902
w53,1.302528,5938.962432,27199.553536,56918.511616,101126.873088,161373.417472,207995.973632,306947.018752,340583.108608,444512.841728,0.12422992285847903,0.6313643608786695
w49,0.057344,0.638976,4.333568,2114.879488,6560.915456,12551.237632,20944.580608,23315.587072,23767.977984,42725.986304,0.24143709383621226,0.10220650188547839
w24,0.049152,1.748992,24.068096,704.188416,9873.911808,20883.111936,33007.468544,39482.544128,46104.735744,70152.00768,0.19115129992447713,0.15781416767003956
w55,0.421888,0.684032,0.913408,37.625856,764.428288,1320.951808,9553.440768,11135.393792,17038.229504,34051.403776,0.3268675542301762,0.7593784791654348
w73,0.045056,0.32768,1.777664,58.94144,193.286144,323.067904,454.38976,733.966336,1220.550656,5794.177024,0.31961534781438355,0.07297995011449479
w39,805.02784,1062.371328,1402.597376,1416.74496,1794.494464,2344.198144,2366.275584,2741.559296,2806.452224,4343.545856,0.9749715916431996,0.5469864726896151
